subject,si_n,si_yes1,si_pyes1,si_yes2,si_pyes2,di_n,di_yes1,di_pyes1,di_yes2,di_pyes2,int_n,int_yes1,int_pyes1,int_yes2,int_pyes2,ip_n,ip_yes1,ip_pyes1,ip_yes2,ip_pyes2,pi_n,pi_yes1,pi_pyes1,pi_yes2,pi_pyes2,nrl_n,nrl_yes1,nrl_pyes1,nrl_yes2,nrl_pyes2,rl_n,rl_yes1,rl_pyes1,rl_yes2,rl_pyes2,target_n_total,pi_pyes1_as_stored_in_file,resolution
13,6,6,1.0,4,0.6666666666666666,5,5,1.0,4,0.8,3,3,1.0,2,0.6666666666666666,8,8,1.0,7,0.875,3,3,1.0,3,1.0,29,1,0.034483,0,0.0,4,0,0.0,1,0.25,25,1.0,B: sum(n)=25 satisfied; rl solved separately
14,4,4,1.0,2,0.5,5,5,1.0,3,0.6,3,3,1.0,2,0.6666666666666666,8,7,0.875,6,0.75,5,2,0.4,2,0.4,29,8,0.275862,7,0.241379,2,0,0.0,1,0.5,25,0.4,A: sum(n)=25 and rl identity satisfied
15,4,4,1.0,4,1.0,5,3,0.6,3,0.6,3,3,1.0,3,1.0,7,5,0.7142857142857143,6,0.8571428571428571,6,6,1.0,6,1.0,30,0,0.0,0,0.0,2,0,0.0,0,0.0,25,1.0,A: sum(n)=25 and rl identity satisfied
16,5,5,1.0,5,1.0,5,4,0.8,4,0.8,2,2,1.0,2,1.0,7,5,0.7142857142857143,7,1.0,6,6,1.0,4,0.6666666666666666,30,0,0.0,0,0.0,3,0,0.0,0,0.0,25,1.0,B: sum(n)=25 satisfied; rl solved separately
17,5,2,0.4,3,0.6,6,1,0.16666666666666666,2,0.3333333333333333,2,1,0.5,2,1.0,7,3,0.42857142857142855,4,0.5714285714285714,5,5,1.0,4,0.8,29,2,0.068966,3,0.103448,1,0,0.0,1,1.0,25,1.0,B: sum(n)=25 satisfied; rl solved separately
18,5,4,0.8,4,0.8,4,4,1.0,3,0.75,2,2,1.0,2,1.0,9,9,1.0,9,1.0,5,4,0.8,5,1.0,29,3,0.103448,0,0.0,0,0,,0,,25,0.8,B: sum(n)=25 satisfied; rl solved separately
19,6,5,0.8333333333333334,5,0.8333333333333334,3,3,1.0,2,0.6666666666666666,3,2,0.6666666666666666,2,0.6666666666666666,7,7,1.0,2,0.2857142857142857,6,3,0.5,6,1.0,30,9,0.3,9,0.3,1,0,0.0,1,1.0,25,0.333333,B: sum(n)=25 satisfied; rl solved separately
20,6,5,0.8333333333333334,6,1.0,4,4,1.0,3,0.75,3,3,1.0,3,1.0,7,7,1.0,7,1.0,5,5,1.0,5,1.0,30,0,0.0,1,0.033333,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
21,6,6,1.0,6,1.0,6,6,1.0,6,1.0,1,1,1.0,1,1.0,8,8,1.0,7,0.875,4,4,1.0,4,1.0,30,1,0.033333,1,0.033333,2,0,0.0,0,0.0,25,0.75,A: sum(n)=25 and rl identity satisfied
22,4,4,1.0,3,0.75,5,4,0.8,4,0.8,3,3,1.0,3,1.0,7,5,0.7142857142857143,6,0.8571428571428571,6,6,1.0,5,0.8333333333333334,30,1,0.033333,4,0.133333,1,0,0.0,0,0.0,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
23,6,6,1.0,6,1.0,5,3,0.6,3,0.6,3,1,0.3333333333333333,2,0.6666666666666666,7,2,0.2857142857142857,3,0.42857142857142855,5,1,0.2,2,0.4,29,16,0.551724,12,0.413793,1,0,0.0,0,0.0,26,0.0,C: fell back to per-condition solve
24,5,5,1.0,4,0.8,5,4,0.8,4,0.8,3,3,1.0,3,1.0,6,5,0.8333333333333334,5,0.8333333333333334,6,6,1.0,6,1.0,30,1,0.033333,0,0.0,1,0,0.0,0,0.0,25,0.833333,A: sum(n)=25 and rl identity satisfied
25,5,4,0.8,3,0.6,6,3,0.5,3,0.5,2,0,0.0,1,0.5,8,3,0.375,7,0.875,5,3,0.6,5,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,26,0.4,C: fell back to per-condition solve
26,5,3,0.6,5,1.0,6,5,0.8333333333333334,5,0.8333333333333334,2,2,1.0,2,1.0,7,5,0.7142857142857143,5,0.7142857142857143,5,5,1.0,3,0.6,30,1,0.033333,1,0.033333,0,0,,0,,25,0.8,B: sum(n)=25 satisfied; rl solved separately
27,4,4,1.0,3,0.75,7,5,0.7142857142857143,4,0.5714285714285714,3,3,1.0,3,1.0,7,5,0.7142857142857143,7,1.0,4,3,0.75,4,1.0,30,3,0.1,3,0.1,3,1,0.3333333333333333,3,1.0,25,0.5,C: fell back to per-condition solve
28,3,3,1.0,2,0.6666666666666666,7,6,0.8571428571428571,6,0.8571428571428571,3,3,1.0,3,1.0,7,5,0.7142857142857143,7,1.0,5,5,1.0,4,0.8,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.8,C: fell back to per-condition solve
29,5,3,0.6,3,0.6,6,5,0.8333333333333334,2,0.3333333333333333,2,1,0.5,2,1.0,7,4,0.5714285714285714,6,0.8571428571428571,5,2,0.4,3,0.6,30,6,0.2,6,0.2,2,0,0.0,2,1.0,25,0.2,A: sum(n)=25 and rl identity satisfied
30,5,5,1.0,3,0.6,6,4,0.6666666666666666,2,0.3333333333333333,3,2,0.6666666666666666,3,1.0,7,6,0.8571428571428571,3,0.42857142857142855,4,4,1.0,4,1.0,30,4,0.133333,4,0.133333,1,1,1.0,0,0.0,25,0.75,A: sum(n)=25 and rl identity satisfied
31,4,2,0.5,3,0.75,5,4,0.8,3,0.6,3,3,1.0,3,1.0,8,7,0.875,8,1.0,5,5,1.0,5,1.0,30,1,0.033333,0,0.0,2,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
32,5,5,1.0,5,1.0,5,4,0.8,5,1.0,1,1,1.0,1,1.0,8,6,0.75,4,0.5,6,6,1.0,6,1.0,30,5,0.166667,4,0.133333,1,0,0.0,0,0.0,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
33,5,4,0.8,4,0.8,5,5,1.0,5,1.0,3,2,0.6666666666666666,3,1.0,7,7,1.0,7,1.0,5,5,1.0,5,1.0,30,1,0.033333,0,0.0,0,0,,0,,25,0.8,B: sum(n)=25 satisfied; rl solved separately
34,5,3,0.6,3,0.6,6,6,1.0,6,1.0,3,3,1.0,3,1.0,5,3,0.6,4,0.8,6,6,1.0,5,0.8333333333333334,30,1,0.033333,1,0.033333,0,0,,0,,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
35,5,4,0.8,4,0.8,6,6,1.0,6,1.0,2,2,1.0,2,1.0,7,7,1.0,7,1.0,5,5,1.0,5,1.0,30,0,0.0,1,0.033333,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
36,5,3,0.6,4,0.8,7,5,0.7142857142857143,6,0.8571428571428571,2,2,1.0,2,1.0,6,6,1.0,6,1.0,5,5,1.0,3,0.6,30,0,0.0,1,0.033333,1,0,0.0,0,0.0,25,0.8,C: fell back to per-condition solve
37,5,2,0.4,3,0.6,4,3,0.75,4,1.0,2,2,1.0,2,1.0,9,8,0.8888888888888888,9,1.0,5,5,1.0,5,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
38,5,4,0.8,4,0.8,7,6,0.8571428571428571,3,0.42857142857142855,3,3,1.0,3,1.0,6,6,1.0,6,1.0,4,4,1.0,2,0.5,30,3,0.1,1,0.033333,1,0,0.0,1,1.0,25,0.75,C: fell back to per-condition solve
39,3,2,0.6666666666666666,3,1.0,7,6,0.8571428571428571,4,0.5714285714285714,3,3,1.0,3,1.0,7,6,0.8571428571428571,7,1.0,5,5,1.0,5,1.0,30,5,0.166667,1,0.033333,2,0,0.0,0,0.0,25,0.8,C: fell back to per-condition solve
40,3,1,0.3333333333333333,3,1.0,6,5,0.8333333333333334,3,0.5,2,2,1.0,2,1.0,8,5,0.625,5,0.625,6,5,0.8333333333333334,5,0.8333333333333334,30,3,0.1,4,0.133333,3,0,0.0,1,0.3333333333333333,25,0.666667,B: sum(n)=25 satisfied; rl solved separately
41,4,3,0.75,1,0.25,6,6,1.0,4,0.6666666666666666,2,2,1.0,2,1.0,7,4,0.5714285714285714,7,1.0,6,6,1.0,2,0.3333333333333333,30,0,0.0,1,0.033333,1,0,0.0,0,0.0,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
42,4,3,0.75,2,0.5,5,5,1.0,2,0.4,2,2,1.0,2,1.0,9,5,0.5555555555555556,7,0.7777777777777778,5,5,1.0,4,0.8,30,1,0.033333,2,0.066667,0,0,,0,,25,0.8,B: sum(n)=25 satisfied; rl solved separately
43,5,5,1.0,4,0.8,6,3,0.5,1,0.16666666666666666,2,2,1.0,2,1.0,7,3,0.42857142857142855,4,0.5714285714285714,5,5,1.0,3,0.6,30,1,0.033333,0,0.0,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
44,6,6,1.0,5,0.8333333333333334,6,5,0.8333333333333334,5,0.8333333333333334,1,1,1.0,1,1.0,7,6,0.8571428571428571,7,1.0,5,5,1.0,5,1.0,30,2,0.066667,2,0.066667,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
45,4,4,1.0,4,1.0,6,5,0.8333333333333334,2,0.3333333333333333,3,3,1.0,3,1.0,7,6,0.8571428571428571,5,0.7142857142857143,5,4,0.8,3,0.6,30,1,0.033333,4,0.133333,2,0,0.0,0,0.0,25,0.6,A: sum(n)=25 and rl identity satisfied
46,4,4,1.0,4,1.0,5,4,0.8,3,0.6,3,3,1.0,3,1.0,7,6,0.8571428571428571,6,0.8571428571428571,6,6,1.0,6,1.0,30,0,0.0,0,0.0,3,0,0.0,1,0.3333333333333333,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
47,4,3,0.75,3,0.75,6,6,1.0,4,0.6666666666666666,3,1,0.3333333333333333,2,0.6666666666666666,7,6,0.8571428571428571,4,0.5714285714285714,5,5,1.0,3,0.6,30,1,0.033333,0,0.0,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
48,6,6,1.0,5,0.8333333333333334,6,5,0.8333333333333334,5,0.8333333333333334,3,3,1.0,3,1.0,5,5,1.0,5,1.0,5,5,1.0,5,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
49,3,1,0.3333333333333333,1,0.3333333333333333,6,5,0.8333333333333334,4,0.6666666666666666,2,2,1.0,2,1.0,8,8,1.0,6,0.75,6,5,0.8333333333333334,5,0.8333333333333334,30,6,0.2,3,0.1,2,0,0.0,0,0.0,25,0.666667,B: sum(n)=25 satisfied; rl solved separately
50,4,4,1.0,4,1.0,5,4,0.8,4,0.8,2,2,1.0,2,1.0,8,7,0.875,8,1.0,6,6,1.0,6,1.0,30,0,0.0,0,0.0,2,1,0.5,1,0.5,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
51,5,4,0.8,4,0.8,5,4,0.8,4,0.8,2,2,1.0,2,1.0,8,6,0.75,7,0.875,5,5,1.0,5,1.0,30,0,0.0,0,0.0,2,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
52,6,5,0.8333333333333334,4,0.6666666666666666,5,3,0.6,2,0.4,2,2,1.0,2,1.0,7,4,0.5714285714285714,6,0.8571428571428571,5,4,0.8,3,0.6,30,4,0.133333,2,0.066667,2,0,0.0,0,0.0,25,0.6,B: sum(n)=25 satisfied; rl solved separately
53,5,3,0.6,4,0.8,5,4,0.8,5,1.0,3,3,1.0,3,1.0,7,6,0.8571428571428571,4,0.5714285714285714,5,5,1.0,4,0.8,30,4,0.133333,8,0.266667,1,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
54,5,3,0.6,5,1.0,4,1,0.25,0,0.0,3,2,0.6666666666666666,3,1.0,8,7,0.875,6,0.75,5,5,1.0,4,0.8,30,0,0.0,0,0.0,1,0,0.0,1,1.0,25,0.8,A: sum(n)=25 and rl identity satisfied
55,3,3,1.0,3,1.0,6,5,0.8333333333333334,5,0.8333333333333334,3,2,0.6666666666666666,2,0.6666666666666666,7,5,0.7142857142857143,6,0.8571428571428571,6,5,0.8333333333333334,5,0.8333333333333334,30,0,0.0,0,0.0,2,0,0.0,0,0.0,25,0.666667,B: sum(n)=25 satisfied; rl solved separately
56,5,5,1.0,5,1.0,5,5,1.0,5,1.0,3,3,1.0,3,1.0,6,5,0.8333333333333334,5,0.8333333333333334,6,5,0.8333333333333334,5,0.8333333333333334,30,1,0.033333,0,0.0,2,0,0.0,0,0.0,25,0.666667,B: sum(n)=25 satisfied; rl solved separately
57,5,3,0.6,5,1.0,7,6,0.8571428571428571,6,0.8571428571428571,2,2,1.0,2,1.0,7,7,1.0,7,1.0,4,4,1.0,4,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.75,C: fell back to per-condition solve
58,4,3,0.75,3,0.75,3,3,1.0,0,0.0,3,3,1.0,3,1.0,9,8,0.8888888888888888,7,0.7777777777777778,6,4,0.6666666666666666,4,0.6666666666666666,30,6,0.2,0,0.0,3,0,0.0,0,0.0,25,0.5,B: sum(n)=25 satisfied; rl solved separately
59,5,5,1.0,5,1.0,4,4,1.0,3,0.75,3,1,0.3333333333333333,2,0.6666666666666666,7,4,0.5714285714285714,7,1.0,6,6,1.0,6,1.0,30,2,0.066667,4,0.133333,2,0,0.0,2,1.0,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
60,6,6,1.0,6,1.0,5,3,0.6,4,0.8,2,2,1.0,2,1.0,6,6,1.0,6,1.0,6,6,1.0,6,1.0,30,6,0.2,6,0.2,1,0,0.0,0,0.0,25,0.833333,A: sum(n)=25 and rl identity satisfied
61,4,2,0.5,2,0.5,7,6,0.8571428571428571,7,1.0,3,3,1.0,3,1.0,7,7,1.0,7,1.0,4,4,1.0,4,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.75,C: fell back to per-condition solve
62,4,3,0.75,3,0.75,6,4,0.6666666666666666,4,0.6666666666666666,3,3,1.0,3,1.0,6,4,0.6666666666666666,6,1.0,6,6,1.0,4,0.6666666666666666,30,2,0.066667,2,0.066667,2,0,0.0,0,0.0,25,0.833333,A: sum(n)=25 and rl identity satisfied
63,3,3,1.0,3,1.0,6,6,1.0,6,1.0,1,1,1.0,1,1.0,6,6,1.0,6,1.0,6,6,1.0,6,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,22,0.833333,C: fell back to per-condition solve
