subject,condition,n,A_yes1yes2,B_yes1no2,C_no1yes2,D_no1no2,p_yes1,p_yes2,Q_reported_smoothed,Q_unsmoothed,resolution,n_alt_combinations,note
1,SameItem,5.0,3.0,1.0,1.0,0.0,0.8,0.8,-0.125,-1.0,A: sum(n)=25 and rl identity satisfied,1,
1,DifferentItem,5.0,1.0,3.0,1.0,0.0,0.8,0.4,-0.75,-1.0,A: sum(n)=25 and rl identity satisfied,1,
1,IntactPair,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
1,ItemPair,7.0,5.0,1.0,0.0,1.0,0.8571428571428571,0.7142857142857143,0.833333,1.0,A: sum(n)=25 and rl identity satisfied,1,
1,PairItem,6.0,4.0,1.0,0.0,1.0,0.8333333333333334,0.6666666666666666,0.8,1.0,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
1,RepeatedLure,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
2,SameItem,6.0,3.0,0.0,1.0,2.0,0.5,0.6666666666666666,0.842105,1.0,A: sum(n)=25 and rl identity satisfied,1,
2,DifferentItem,5.0,3.0,2.0,0.0,0.0,1.0,0.6,0.166667,,A: sum(n)=25 and rl identity satisfied,1,
2,IntactPair,3.0,2.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.25,,A: sum(n)=25 and rl identity satisfied,1,
2,ItemPair,6.0,3.0,2.0,0.0,1.0,0.8333333333333334,0.5,0.615385,1.0,A: sum(n)=25 and rl identity satisfied,1,
2,PairItem,5.0,2.0,2.0,1.0,0.0,0.8,0.6,-0.5,-1.0,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
2,RepeatedLure,0.0,0.0,0.0,0.0,0.0,,,0.0,,A: sum(n)=25 and rl identity satisfied,1,n=0: no items in this condition this cycle
3,SameItem,4.0,3.0,0.0,0.0,1.0,0.75,0.75,0.909091,1.0,A: sum(n)=25 and rl identity satisfied,1,
3,DifferentItem,5.0,2.0,1.0,0.0,2.0,0.6,0.4,0.785714,1.0,A: sum(n)=25 and rl identity satisfied,1,
3,IntactPair,3.0,2.0,0.0,0.0,1.0,0.6666666666666666,0.6666666666666666,0.875,1.0,A: sum(n)=25 and rl identity satisfied,1,
3,ItemPair,8.0,7.0,0.0,0.0,1.0,0.875,0.875,0.956522,1.0,A: sum(n)=25 and rl identity satisfied,1,
3,PairItem,5.0,4.0,0.0,0.0,1.0,0.8,0.8,0.928571,1.0,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
3,RepeatedLure,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
4,SameItem,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.8,,A: sum(n)=25 and rl identity satisfied,1,
4,DifferentItem,5.0,4.0,1.0,0.0,0.0,1.0,0.8,0.5,,A: sum(n)=25 and rl identity satisfied,1,
4,IntactPair,3.0,3.0,0.0,0.0,0.0,1.0,1.0,0.75,,A: sum(n)=25 and rl identity satisfied,1,
4,ItemPair,8.0,8.0,0.0,0.0,0.0,1.0,1.0,0.888889,,A: sum(n)=25 and rl identity satisfied,1,
4,PairItem,5.0,5.0,0.0,0.0,0.0,1.0,1.0,0.833333,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
4,RepeatedLure,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
