subject,si_n,si_yes1,si_pyes1,si_yes2,si_pyes2,di_n,di_yes1,di_pyes1,di_yes2,di_pyes2,int_n,int_yes1,int_pyes1,int_yes2,int_pyes2,ip_n,ip_yes1,ip_pyes1,ip_yes2,ip_pyes2,pi_n,pi_yes1,pi_pyes1,pi_yes2,pi_pyes2,nrl_n,nrl_yes1,nrl_pyes1,nrl_yes2,nrl_pyes2,rl_n,rl_yes1,rl_pyes1,rl_yes2,rl_pyes2,target_n_total,pi_pyes1_as_stored_in_file,resolution
20,5,5,1.0,5,1.0,4,3,0.75,4,1.0,3,3,1.0,3,1.0,8,8,1.0,8,1.0,5,5,1.0,4,0.8,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
21,4,4,1.0,4,1.0,5,5,1.0,5,1.0,3,3,1.0,3,1.0,8,8,1.0,8,1.0,5,5,1.0,4,0.8,30,0,0.0,0,0.0,2,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
22,5,4,0.8,5,1.0,6,4,0.6666666666666666,4,0.6666666666666666,3,3,1.0,3,1.0,7,7,1.0,7,1.0,4,4,1.0,3,0.75,30,5,0.166667,2,0.066667,1,0,0.0,0,0.0,25,0.75,A: sum(n)=25 and rl identity satisfied
23,5,4,0.8,4,0.8,5,3,0.6,1,0.2,3,3,1.0,3,1.0,7,6,0.8571428571428571,6,0.8571428571428571,5,5,1.0,3,0.6,30,0,0.0,3,0.1,1,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
24,5,4,0.8,5,1.0,6,6,1.0,5,0.8333333333333334,3,3,1.0,3,1.0,7,6,0.8571428571428571,7,1.0,4,4,1.0,4,1.0,30,1,0.033333,0,0.0,1,0,0.0,0,0.0,25,0.75,A: sum(n)=25 and rl identity satisfied
25,6,5,0.8333333333333334,5,0.8333333333333334,5,5,1.0,3,0.6,2,2,1.0,2,1.0,6,5,0.8333333333333334,6,1.0,6,6,1.0,6,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.833333,A: sum(n)=25 and rl identity satisfied
26,6,5,0.8333333333333334,5,0.8333333333333334,5,5,1.0,3,0.6,3,3,1.0,3,1.0,7,7,1.0,6,0.8571428571428571,4,4,1.0,3,0.75,30,2,0.066667,1,0.033333,0,0,,0,,25,0.75,A: sum(n)=25 and rl identity satisfied
27,4,4,1.0,4,1.0,6,5,0.8333333333333334,4,0.6666666666666666,2,2,1.0,2,1.0,8,8,1.0,8,1.0,5,5,1.0,5,1.0,30,0,0.0,4,0.133333,3,1,0.3333333333333333,3,1.0,25,0.8,A: sum(n)=25 and rl identity satisfied
28,6,5,0.8333333333333334,5,0.8333333333333334,5,3,0.6,2,0.4,3,3,1.0,3,1.0,9,7,0.7777777777777778,9,1.0,3,3,1.0,1,0.3333333333333333,30,0,0.0,0,0.0,1,0,0.0,0,0.0,26,0.666667,C: fell back to per-condition solve
29,5,3,0.6,3,0.6,5,4,0.8,2,0.4,2,2,1.0,2,1.0,7,7,1.0,4,0.5714285714285714,6,6,1.0,5,0.8333333333333334,30,6,0.2,4,0.133333,2,0,0.0,2,1.0,25,0.833333,A: sum(n)=25 and rl identity satisfied
30,5,5,1.0,5,1.0,4,4,1.0,1,0.25,2,2,1.0,2,1.0,8,8,1.0,7,0.875,6,6,1.0,5,0.8333333333333334,30,4,0.133333,2,0.066667,1,1,1.0,0,0.0,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
31,5,3,0.6,4,0.8,6,6,1.0,4,0.6666666666666666,3,3,1.0,3,1.0,7,7,1.0,7,1.0,4,4,1.0,3,0.75,30,1,0.033333,2,0.066667,2,0,0.0,0,0.0,25,0.75,B: sum(n)=25 satisfied; rl solved separately
32,6,4,0.6666666666666666,5,0.8333333333333334,4,4,1.0,3,0.75,2,1,0.5,2,1.0,8,6,0.75,6,0.75,5,4,0.8,4,0.8,30,2,0.066667,3,0.1,1,0,0.0,0,0.0,25,0.6,A: sum(n)=25 and rl identity satisfied
33,7,6,0.8571428571428571,7,1.0,6,6,1.0,6,1.0,3,3,1.0,3,1.0,7,7,1.0,7,1.0,3,3,1.0,3,1.0,30,0,0.0,0,0.0,0,0,,0,,26,0.666667,C: fell back to per-condition solve
34,6,5,0.8333333333333334,6,1.0,5,4,0.8,4,0.8,3,3,1.0,3,1.0,6,5,0.8333333333333334,6,1.0,5,5,1.0,5,1.0,30,0,0.0,0,0.0,0,0,,0,,25,0.8,A: sum(n)=25 and rl identity satisfied
35,5,5,1.0,5,1.0,4,4,1.0,4,1.0,3,3,1.0,3,1.0,8,8,1.0,8,1.0,5,5,1.0,4,0.8,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
36,6,5,0.8333333333333334,6,1.0,6,6,1.0,4,0.6666666666666666,2,2,1.0,2,1.0,6,4,0.6666666666666666,6,1.0,5,5,1.0,5,1.0,30,3,0.1,2,0.066667,1,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
37,6,6,1.0,6,1.0,5,5,1.0,5,1.0,2,2,1.0,2,1.0,6,6,1.0,6,1.0,6,6,1.0,6,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.833333,A: sum(n)=25 and rl identity satisfied
38,5,5,1.0,5,1.0,6,3,0.5,4,0.6666666666666666,2,2,1.0,2,1.0,8,6,0.75,7,0.875,5,5,1.0,5,1.0,29,3,0.103448,2,0.068966,1,0,0.0,1,1.0,26,0.8,C: fell back to per-condition solve
39,3,3,1.0,3,1.0,7,7,1.0,7,1.0,2,2,1.0,2,1.0,7,7,1.0,7,1.0,6,6,1.0,6,1.0,30,0,0.0,0,0.0,2,0,0.0,0,0.0,25,0.833333,C: fell back to per-condition solve
40,5,3,0.6,3,0.6,7,6,0.8571428571428571,6,0.8571428571428571,2,2,1.0,2,1.0,6,6,1.0,5,0.8333333333333334,5,5,1.0,4,0.8,30,5,0.166667,6,0.2,3,0,0.0,1,0.3333333333333333,25,0.8,C: fell back to per-condition solve
41,5,5,1.0,5,1.0,7,7,1.0,3,0.42857142857142855,3,3,1.0,2,0.6666666666666666,7,6,0.8571428571428571,6,0.8571428571428571,4,4,1.0,2,0.5,29,4,0.137931,1,0.034483,1,0,0.0,0,0.0,26,0.75,C: fell back to per-condition solve
42,4,3,0.75,3,0.75,7,6,0.8571428571428571,5,0.7142857142857143,3,3,1.0,3,1.0,8,8,1.0,8,1.0,3,3,1.0,3,1.0,30,3,0.1,1,0.033333,0,0,,0,,25,0.666667,C: fell back to per-condition solve
43,5,4,0.8,3,0.6,5,2,0.4,1,0.2,2,2,1.0,2,1.0,8,7,0.875,7,0.875,5,5,1.0,4,0.8,30,2,0.066667,0,0.0,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
44,3,3,1.0,3,1.0,5,4,0.8,5,1.0,3,3,1.0,3,1.0,8,4,0.5,8,1.0,6,6,1.0,3,0.5,30,0,0.0,1,0.033333,1,0,0.0,0,0.0,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
45,4,4,1.0,4,1.0,4,4,1.0,4,1.0,3,3,1.0,3,1.0,8,8,1.0,7,0.875,6,6,1.0,3,0.5,30,0,0.0,1,0.033333,2,0,0.0,0,0.0,25,0.833333,A: sum(n)=25 and rl identity satisfied
46,4,4,1.0,4,1.0,5,5,1.0,4,0.8,3,3,1.0,3,1.0,7,6,0.8571428571428571,7,1.0,6,6,1.0,6,1.0,30,0,0.0,0,0.0,3,0,0.0,1,0.3333333333333333,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
47,4,4,1.0,4,1.0,6,5,0.8333333333333334,5,0.8333333333333334,4,4,1.0,4,1.0,6,6,1.0,6,1.0,5,5,1.0,4,0.8,30,1,0.033333,0,0.0,1,0,0.0,0,0.0,25,0.8,C: fell back to per-condition solve
48,4,4,1.0,4,1.0,4,4,1.0,3,0.75,4,4,1.0,4,1.0,8,8,1.0,8,1.0,5,5,1.0,5,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.8,C: fell back to per-condition solve
49,4,4,1.0,4,1.0,5,5,1.0,3,0.6,3,3,1.0,3,1.0,7,7,1.0,7,1.0,6,6,1.0,6,1.0,30,8,0.266667,8,0.266667,2,0,0.0,0,0.0,25,0.833333,A: sum(n)=25 and rl identity satisfied
50,5,4,0.8,3,0.6,7,7,1.0,7,1.0,1,1,1.0,1,1.0,7,7,1.0,7,1.0,5,5,1.0,5,1.0,30,0,0.0,0,0.0,2,1,0.5,1,0.5,25,0.8,C: fell back to per-condition solve
51,4,2,0.5,2,0.5,6,3,0.5,3,0.5,2,1,0.5,1,0.5,8,8,1.0,4,0.5,5,5,1.0,5,1.0,30,0,0.0,1,0.033333,2,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
52,4,4,1.0,4,1.0,6,5,0.8333333333333334,2,0.3333333333333333,3,3,1.0,3,1.0,7,7,1.0,7,1.0,5,5,1.0,2,0.4,30,2,0.066667,0,0.0,2,0,0.0,0,0.0,25,0.8,A: sum(n)=25 and rl identity satisfied
53,4,3,0.75,1,0.25,6,5,0.8333333333333334,3,0.5,3,3,1.0,3,1.0,9,7,0.7777777777777778,7,0.7777777777777778,3,3,1.0,2,0.6666666666666666,30,1,0.033333,3,0.1,1,0,0.0,0,0.0,25,0.666667,B: sum(n)=25 satisfied; rl solved separately
54,4,3,0.75,4,1.0,7,6,0.8571428571428571,5,0.7142857142857143,2,1,0.5,1,0.5,7,6,0.8571428571428571,6,0.8571428571428571,5,5,1.0,4,0.8,30,0,0.0,2,0.066667,1,0,0.0,1,1.0,25,0.8,C: fell back to per-condition solve
55,4,4,1.0,4,1.0,7,6,0.8571428571428571,3,0.42857142857142855,2,2,1.0,2,1.0,6,4,0.6666666666666666,3,0.5,6,5,0.8333333333333334,5,0.8333333333333334,30,2,0.066667,1,0.033333,2,0,0.0,0,0.0,25,0.666667,C: fell back to per-condition solve
56,5,4,0.8,4,0.8,6,6,1.0,6,1.0,3,2,0.6666666666666666,3,1.0,7,6,0.8571428571428571,7,1.0,4,4,1.0,4,1.0,30,2,0.066667,3,0.1,2,0,0.0,0,0.0,25,0.75,B: sum(n)=25 satisfied; rl solved separately
57,4,3,0.75,3,0.75,5,3,0.6,4,0.8,3,3,1.0,3,1.0,8,8,1.0,8,1.0,5,5,1.0,4,0.8,30,0,0.0,0,0.0,1,0,0.0,0,0.0,25,0.8,B: sum(n)=25 satisfied; rl solved separately
58,4,3,0.75,4,1.0,5,2,0.4,2,0.4,3,3,1.0,3,1.0,7,6,0.8571428571428571,7,1.0,6,6,1.0,6,1.0,30,4,0.133333,3,0.1,3,0,0.0,0,0.0,25,0.833333,B: sum(n)=25 satisfied; rl solved separately
59,4,4,1.0,4,1.0,6,4,0.6666666666666666,5,0.8333333333333334,3,3,1.0,3,1.0,8,8,1.0,5,0.625,4,3,0.75,4,1.0,30,7,0.233333,2,0.066667,2,0,0.0,2,1.0,25,0.5,A: sum(n)=25 and rl identity satisfied
60,4,4,1.0,4,1.0,7,6,0.8571428571428571,6,0.8571428571428571,3,3,1.0,3,1.0,7,6,0.8571428571428571,7,1.0,4,4,1.0,4,1.0,30,7,0.233333,4,0.133333,1,0,0.0,0,0.0,25,0.75,C: fell back to per-condition solve
61,4,3,0.75,3,0.75,6,5,0.8333333333333334,4,0.6666666666666666,2,2,1.0,2,1.0,9,8,0.8888888888888888,9,1.0,4,4,1.0,4,1.0,30,1,0.033333,0,0.0,1,0,0.0,0,0.0,25,0.75,B: sum(n)=25 satisfied; rl solved separately
62,5,5,1.0,5,1.0,5,3,0.6,2,0.4,4,4,1.0,3,0.75,7,5,0.7142857142857143,6,0.8571428571428571,4,4,1.0,3,0.75,30,3,0.1,1,0.033333,2,0,0.0,0,0.0,25,0.75,C: fell back to per-condition solve
63,0,0,,0,,0,0,,0,,3,3,1.0,3,1.0,6,6,1.0,6,1.0,5,5,1.0,5,1.0,30,0,0.0,0,0.0,1,0,0.0,0,0.0,14,0.8,C: fell back to per-condition solve
