cycle,trial,phase,type,word1,word2,response,RT,correct,lag,serPos1,serPos2,subj,intactLag,prevResponse,prevRT
0,-1,study,intact,formal,positive,-1,-1,-1,-1,0,0,101,0,0,0
0,0,study,intact,skin,careful,-1,-1,-1,-1,1,1,101,0,0,0
0,1,study,intact,upon,miss,-1,-1,-1,-1,2,2,101,0,0,0
0,2,study,intact,single,tradition,-1,-1,-1,-1,3,3,101,0,0,0
0,3,study,intact,prove,airport,-1,-1,-1,-1,4,4,101,0,0,0
0,4,study,intact,brought,system,-1,-1,-1,-1,5,5,101,0,0,0
0,5,study,intact,function,clean,-1,-1,-1,-1,6,6,101,0,0,0
0,6,study,intact,twenty,lord,-1,-1,-1,-1,7,7,101,0,0,0
0,7,study,intact,critical,rate,-1,-1,-1,-1,8,8,101,0,0,0
0,8,study,intact,stock,simple,-1,-1,-1,-1,9,9,101,0,0,0
0,9,study,intact,travel,degree,-1,-1,-1,-1,10,10,101,0,0,0
0,10,study,intact,enter,flesh,-1,-1,-1,-1,11,11,101,0,0,0
0,11,study,intact,waste,concern,-1,-1,-1,-1,12,12,101,0,0,0
0,12,study,intact,plus,attack,-1,-1,-1,-1,13,13,101,0,0,0
0,13,study,intact,absolute,civil,-1,-1,-1,-1,14,14,101,0,0,0
0,14,study,intact,separate,learn,-1,-1,-1,-1,15,15,101,0,0,0
0,15,study,intact,rule,usual,-1,-1,-1,-1,16,16,101,0,0,0
0,16,study,intact,major,third,-1,-1,-1,-1,17,17,101,0,0,0
0,17,study,intact,analysis,forth,-1,-1,-1,-1,18,18,101,0,0,0
0,18,study,intact,liked,tone,-1,-1,-1,-1,19,19,101,0,0,0
0,19,study,intact,brother,chapter,-1,-1,-1,-1,20,20,101,0,0,0
0,20,study,intact,crisis,empty,-1,-1,-1,-1,21,21,101,0,0,0
0,21,study,intact,technical,chosen,-1,-1,-1,-1,22,22,101,0,0,0
0,22,study,intact,notice,explain,-1,-1,-1,-1,23,23,101,0,0,0
0,23,study,intact,camp,invited,-1,-1,-1,-1,24,24,101,0,0,0
0,24,study,intact,shock,ordinary,-1,-1,-1,-1,25,25,101,0,0,0
0,25,study,intact,ability,cold,-1,-1,-1,-1,26,26,101,0,0,0
0,26,study,intact,needed,foods,-1,-1,-1,-1,27,27,101,0,0,0
0,27,study,intact,else,able,-1,-1,-1,-1,28,28,101,0,0,0
0,28,study,intact,homes,fuel,-1,-1,-1,-1,29,29,101,0,0,0
0,29,study,intact,stayed,music,-1,-1,-1,-1,30,30,101,0,0,0
